participant_id,day,session_label,trial_id,input_index,target_char,selected_character,is_error,label,g1,g2,f_down,f_up,t2,t5,t7,hold_ms,offset_ms,dist_px
P01,1,experiment_1,trial_001,1.0,a,a,False,on_time,1780566202830.0,1780566203747.0,1780566203881.0,1780566203999.0,1051.0,134.0,917.0,118.0,0.0,350.4393187597774
P01,1,experiment_1,trial_001,2.0,l,l,False,on_time,1780566205013.0,1780566205163.0,1780566205167.0,1780566205282.0,154.0,4.0,150.0,115.0,0.0,289.29041219622945
P01,1,experiment_1,trial_001,3.0,e,e,False,on_time,1780566205730.0,1780566205813.0,1780566206333.0,1780566206431.0,603.0,520.0,83.0,98.0,0.0,19.079753065361277
P01,1,experiment_1,trial_001,4.0,r,r,False,on_time,1780566206447.0,1780566206880.0,1780566207031.0,1780566207132.0,584.0,151.0,433.0,101.0,0.0,52.72600519615867
P01,1,experiment_1,trial_001,5.0,t,t,False,on_time,1780566207480.0,1780566208180.0,1780566208247.0,1780566208348.0,767.0,67.0,700.0,101.0,0.0,80.77356648592239
P01,1,experiment_1,trial_002,1.0,t,t,False,late,,,1780566221816.0,,,,,,151.0,339.41331975313074
P01,1,experiment_1,trial_002,2.0,o,o,False,on_time,1780566222315.0,1780566223565.0,1780566223601.0,,1286.0,36.0,1250.0,,0.0,208.8870881026637
P01,1,experiment_1,trial_002,3.0,a,a,False,on_time,1780566223749.0,1780566224098.0,1780566224334.0,,585.0,236.0,349.0,,0.0,148.29498140130062
P01,1,experiment_1,trial_002,4.0,s,s,False,late,1780566224665.0,1780566224935.0,1780566225765.0,,1100.0,830.0,270.0,,167.0,368.35857029143625
P01,1,experiment_1,trial_002,5.0,t,t,False,on_time,,,1780566231052.0,,,,,,0.0,161.09510700695643
P01,1,experiment_1,trial_003,1.0,l,l,False,on_time,1780566232149.0,1780566232448.0,1780566233466.0,1780566233549.0,1317.0,1018.0,299.0,83.0,0.0,246.53976387368903
P01,1,experiment_1,trial_003,2.0,e,e,False,on_time,1780566235132.0,1780566235401.0,1780566236036.0,,904.0,635.0,269.0,,0.0,167.36145934219672
P01,1,experiment_1,trial_003,3.0,a,a,False,on_time,,1780566236549.0,1780566237200.0,,,651.0,,,0.0,167.99173513723085
P01,1,experiment_1,trial_003,4.0,s,s,False,on_time,1780566237615.0,1780566237782.0,1780566238301.0,,686.0,519.0,167.0,,0.0,161.28272906675716
P01,1,experiment_1,trial_003,5.0,t,t,False,on_time,,1780566238733.0,1780566239185.0,,,452.0,,,0.0,219.8875311629595
P01,1,experiment_1,trial_004,1.0,s,s,False,late,1780566240549.0,1780566241250.0,1780566241251.0,1780566241350.0,702.0,1.0,701.0,99.0,102.0,474.9313499058112
P01,1,experiment_1,trial_004,2.0,n,n,False,on_time,1780566243683.0,1780566244083.0,1780566244700.0,1780566244784.0,1017.0,617.0,400.0,84.0,0.0,30.973168932983068
P01,1,experiment_1,trial_004,3.0,o,o,False,on_time,1780566253733.0,1780566253816.0,1780566254518.0,,785.0,702.0,83.0,,0.0,159.15403588699013
P01,1,experiment_1,trial_004,4.0,r,r,False,on_time,1780566255300.0,1780566255366.0,1780566255919.0,,619.0,553.0,66.0,,0.0,86.54576196953133
P01,1,experiment_1,trial_004,5.0,e,e,False,on_time,1780566256617.0,1780566256684.0,1780566256835.0,,218.0,151.0,67.0,,0.0,266.1721749058484
P01,1,experiment_1,trial_005,1.0,l,l,False,on_time,1780566257667.0,1780566257801.0,1780566258402.0,1780566258484.0,735.0,601.0,134.0,82.0,0.0,174.14482879446183
P01,1,experiment_1,trial_005,2.0,e,e,False,on_time,,1780566258500.0,1780566259083.0,1780566259184.0,,583.0,,101.0,0.0,246.2778425557743
P01,1,experiment_1,trial_005,3.0,a,a,False,on_time,1780566260451.0,1780566260568.0,1780566260984.0,1780566261085.0,533.0,416.0,117.0,101.0,0.0,337.54199763559717
P01,1,experiment_1,trial_005,4.0,r,r,False,on_time,1780566262358.0,1780566262517.0,1780566263268.0,1780566263352.0,910.0,751.0,159.0,84.0,0.0,110.75826978191745
P01,1,experiment_1,trial_005,5.0,n,n,False,on_time,1780566263851.0,1780566264217.0,1780566264802.0,1780566264868.0,951.0,585.0,366.0,66.0,0.0,95.89084439106914
P01,1,experiment_1,trial_006,1.0,s,s,False,on_time,1780566267884.0,1780566267984.0,1780566269368.0,1780566269435.0,1484.0,1384.0,100.0,67.0,0.0,208.0186907475229
P01,1,experiment_1,trial_006,2.0,t,t,False,on_time,,,1780566271918.0,1780566271985.0,,,,67.0,0.0,300.1785976698114
