participant_id,day,session_label,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,n_trials,n_selections,n_errors,error_rate_per_keystroke,n_late_err,n_early_err,n_other_err,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P01,1,experiment_1,6.667576111415835,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,2,0,2,0.0,0.5,0.5,0.0,0.04,0.04,21.9,0.0,537.5744680851063,553.0,743.219512195122,245.0487804878049,86.38888888888889,91.33913533834587,2.5599999999999996
P01,1,experiment_2,6.5477063022184465,0.5,0.4,0.1,0.9,10,50,5,0.1,1,2,2,0.4,0.2,0.4,0.04,0.02,0.04,20.48,0.0,527.6304347826087,575.5,652.609756097561,152.2439024390244,89.6470588235294,94.41929292929294,2.78
P01,1,experiment_3,6.897010908730115,0.2,0.2,0.04,0.96,10,50,2,0.04,2,0,0,0.0,1.0,0.0,0.0,0.04,0.0,14.2,0.0,599.5652173913044,550.5,774.5263157894736,225.05263157894737,90.83333333333333,99.98805555555556,3.04
P01,1,experiment_4,7.12536926517892,0.6,0.6,0.12000000000000002,0.8800000000000001,10,50,6,0.12,2,1,3,0.16666666666666666,0.3333333333333333,0.5,0.02,0.04,0.06,19.14,0.0,590.4146341463414,601.0,790.6285714285714,228.62857142857143,86.3,97.54583999334,2.06
P01,1,experiment_5,6.218479364403201,0.7,0.5,0.14,0.86,10,50,7,0.14,0,2,5,0.2857142857142857,0.0,0.7142857142857143,0.04,0.0,0.1,7.38,0.0,648.3421052631579,560.5,881.90625,267.0625,87.07894736842105,91.07609723609724,3.96
P01,2,experiment_1,11.046799827366566,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,432.3777777777778,467.0,584.9512195121952,158.5121951219512,91.3265306122449,91.65206349206349,1.48
P01,2,experiment_2,11.043514073740969,0.7,0.5,0.14,0.86,10,50,7,0.14,3,1,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.02,0.06,0.06,18.92,0.0,506.0851063829787,502.0,671.7380952380952,164.0,85.86,95.43333333333334,1.1400000000000001
P01,2,experiment_3,8.52667233392596,0.8,0.6,0.16,0.8400000000000001,10,50,8,0.16,4,1,3,0.125,0.5,0.375,0.02,0.08,0.06,14.9,0.0,643.5555555555555,575.0,759.4358974358975,132.28205128205127,87.82978723404256,89.40025252525253,1.7399999999999998
P01,2,experiment_4,6.295908416126908,0.5,0.4,0.1,0.9,10,50,5,0.1,3,1,1,0.2,0.6,0.2,0.02,0.06,0.02,11.2,0.0,574.1333333333333,534.0,786.925,255.3,84.8936170212766,96.6483893557423,2.4
P01,2,experiment_5,8.159381156104255,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,1,0,3,0.0,0.25,0.75,0.0,0.02,0.06,22.66,0.0,613.3478260869565,574.0,838.7631578947369,269.07894736842104,82.18,94.68457875457875,1.54
P01,3,experiment_1,10.434239830393427,0.3,0.3,0.06000000000000001,0.9400000000000001,10,50,3,0.06,1,0,2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.02,0.04,11.04,0.0,551.2173913043479,584.5,680.972972972973,176.8108108108108,84.06382978723404,95.56648767898767,1.22
P01,3,experiment_2,8.149617490077153,0.5,0.3,0.1,0.9,10,50,5,0.1,2,1,2,0.2,0.4,0.4,0.02,0.04,0.04,9.72,0.0,763.775,732.0,961.6451612903226,187.29032258064515,93.03125,97.08154005716506,1.86
P01,3,experiment_3,7.57989454641199,0.6,0.5,0.12000000000000002,0.8800000000000001,10,50,6,0.12,3,2,1,0.3333333333333333,0.5,0.16666666666666666,0.04,0.06,0.02,19.979591836734695,0.0,736.1951219512196,734.0,921.3636363636364,194.15151515151516,86.75,98.42675685425687,1.6600000000000001
P01,3,experiment_4,8.877773382216755,0.6,0.5,0.12000000000000002,0.8800000000000001,10,50,6,0.12,4,1,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.02,0.08,0.02,30.38,0.0,754.439024390244,734.0,818.0909090909091,139.0909090909091,88.28571428571429,100.39818054494525,1.6199999999999999
P01,3,experiment_5,7.02212354071064,0.5,0.4,0.1,0.9,10,50,5,0.1,2,1,2,0.2,0.4,0.4,0.02,0.04,0.04,11.5,0.0,622.0,529.0,797.3030303030303,176.87878787878788,96.3076923076923,101.27347222222222,2.2800000000000002
P02,1,experiment_1,5.923670662779282,0.7,0.6,0.14,0.86,10,50,7,0.14,2,3,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.06,0.04,0.04,0.58,0.0,795.0,816.0,966.8157894736842,205.47368421052633,82.91666666666667,94.24486694677871,2.92
P02,1,experiment_2,6.435865794353876,0.2,0.2,0.04,0.96,10,50,2,0.04,0,0,2,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,777.5909090909091,767.5,933.7692307692307,161.46153846153845,81.26315789473684,93.50558441558442,2.8600000000000003
P02,1,experiment_3,7.092875610208599,0.8,0.7,0.16,0.8400000000000001,10,50,8,0.16,4,1,3,0.125,0.5,0.375,0.02,0.08,0.06,19.04,0.0,699.5106382978723,684.0,865.6428571428571,178.33333333333334,78.9,88.57037037037037,2.2800000000000002
P02,1,experiment_4,6.190287363754887,0.8,0.6,0.16,0.8400000000000001,10,50,8,0.16,5,2,1,0.25,0.625,0.125,0.04,0.1,0.02,28.66,0.0,793.3478260869565,800.0,961.829268292683,161.90243902439025,81.36363636363636,93.50877705627707,3.02
P02,1,experiment_5,7.724608258753847,0.4,0.4,0.08,0.9199999999999999,10,50,4,0.08,2,1,1,0.25,0.5,0.25,0.02,0.04,0.02,8.38,0.0,726.0,727.0,872.3333333333334,159.15384615384616,78.54166666666667,90.16666666666666,2.18
P02,2,experiment_1,10.588663986019878,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,558.25,565.0,684.15,133.7,90.8,102.61070984570983,0.64
